"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs7765379-<b>G</b>,"9 x 10-59",,NR,1.93,'-,[1.78-2.09],"MTCO3P1, AL662789.1","Crohn's disease","Crohn's disease",GCST001785,6:32713151
rs2274471-<b>A</b>,"5 x 10-6",,NR,1.27,'-,[1.15-1.41],JAK2,"Crohn's disease","Crohn's disease",GCST001785,9:4985879
rs6478106-<b>T</b>,"5 x 10-46",,NR,1.73,'-,[1.60-1.86],"AL390240.1, TNFSF15","Crohn's disease","Crohn's disease",GCST001785,9:114783386
rs2241880-<b>?</b>,"3 x 10-6",,NR,1.32,'-,[1.18-1.47],ATG16L1,"Crohn's disease","Crohn's disease",GCST000705,2:233274722
rs2066847-<b>?</b>,"2 x 10-15",,NR,1.62,'-,[1.42-1.86],"AC007728.2, NOD2","Crohn's disease","Crohn's disease",GCST000705,16:50729868
rs504963-<b>A</b>,"2 x 10-8",,0.431,'-,'-,'-,FUT2,"Crohn's disease","Crohn's disease",GCST000705,19:48705608
rs11465804-<b>?</b>,"1 x 10-6",,NR,1.89,'-,[1.47-2.44],IL23R,"Crohn's disease","Crohn's disease",GCST000705,1:67236843
rs2188962-<b>?</b>,"1 x 10-7",,NR,1.36,'-,[1.21-1.52],"AC116366.3, IRF1-AS1","Crohn's disease","Crohn's disease",GCST000705,5:132435113
rs10045431-<b>?</b>,"7 x 10-8",,NR,1.45,'-,[1.27-1.64],AC008691.1,"Crohn's disease","Crohn's disease",GCST000705,5:159387525
rs2301436-<b>?</b>,"6 x 10-8",,NR,1.37,'-,[1.22-1.53],"FGFR1OP, Z94721.2","Crohn's disease","Crohn's disease",GCST000705,6:167024500
rs2006996-<b>T</b>,"4 x 10-13","(UC vs. CD)",0.47,1.67,'-,[1.47-1.92],"AL133412.1, TNFSF15","Ulcerative colitis or Crohn's disease","ulcerative colitis, Crohn's disease",GCST001118,9:114830358
rs7195303-<b>G</b>,"9 x 10-6",,NR,2.1,'-,[1.5-2.8],AC099508.2,"Crohn's disease (time to surgery)","Crohn's disease",GCST002018,16:75133681
rs11103429-<b>G</b>,"6 x 10-6",,0.05,3.6,'-,[2.10-6.30],"AL669970.2, COL5A1","Crohn's disease (need for surgery)","Crohn's disease",GCST002017,9:134614732
rs11978472-<b>?</b>,"6 x 10-6",,0.70,2,'-,[1.43-2.50],CACNA2D1,"Crohn's disease (need for surgery)","Crohn's disease",GCST002017,7:82210237
rs11209026-<b>?</b>,"2 x 10-18",,0.92,2.92,'-,[NR],IL23R,"Crohn's disease","Crohn's disease",GCST000014,1:67240275
rs1373692-<b>?</b>,"2 x 10-12",,0.59,1.46,'-,[NR],AC093277.1,"Crohn's disease","Crohn's disease",GCST000014,5:40431081
rs5743289-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,NOD2,"Crohn's disease","Crohn's disease",GCST000014,16:50722863
rs12481514-<b>A</b>,"3 x 10-7",,NR,'-,"4.469 unit increase",'-,ADRA1D,"Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,20:4245273
rs723080-<b>C</b>,"5 x 10-7",,NR,'-,"4.754 unit decrease",'-,AL035665.2,"Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,20:40728825
rs147629807-<b>?</b>,"7 x 10-7",,NR,'-,"8.139 unit decrease",'-,"AC008462.1, AC133134.1","Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,5:108553338
rs17318450-<b>A</b>,"2 x 10-6",,NR,'-,"5.826 unit decrease",'-,"AC027347.1, SPEF2","Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,5:35482212
rs12494894-<b>A</b>,"2 x 10-6",,NR,'-,"6.381 unit decrease",'-,"AC092999.1, IQCJ-SCHIP1","Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,3:158878626
rs629922-<b>C</b>,"3 x 10-6",,NR,'-,"4.142 unit increase",'-,ZBTB16,"Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,11:114194103
rs72622838-<b>A</b>,"3 x 10-6",,NR,'-,"4.181 unit decrease",'-,"AC022858.1, AC015687.1","Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,8:71188090
rs11978753-<b>G</b>,"4 x 10-6",,NR,'-,"5.941 unit decrease",'-,"AC079809.1, AC006348.1","Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,7:153020025
rs2238823-<b>A</b>,"4 x 10-6",,NR,'-,"5.626 unit decrease",'-,FBLN1,"Paneth cell defects in Crohn's disease","abnormal paneth cell measurement, Crohn's disease",GCST004251,22:45540440
rs76418789-<b>?</b>,"4 x 10-7",,NR,1.1363636,'-,[1.08-1.19],"C1orf141, IL23R","Crohn's disease","Crohn's disease",GCST010577,1:67182913
rs117742432-<b>?</b>,"7 x 10-6",,NR,1.1627907,'-,[1.09-1.23],SULF1,"Crohn's disease","Crohn's disease",GCST010577,8:69560258
rs55951892-<b>?</b>,"2 x 10-23",,NR,1.1235955,'-,[1.1-1.16],"AL133412.1, TNFSF15","Crohn's disease","Crohn's disease",GCST010577,9:114813633
rs117223925-<b>?</b>,"6 x 10-6",,NR,1.1111112,'-,[1.06-1.16],VSTM2B,"Crohn's disease","Crohn's disease",GCST010577,19:29530539
rs12647478-<b>?</b>,"8 x 10-6",,NR,1.0869565,'-,[1.05-1.14],"AC122138.1, AC093909.4","Crohn's disease","Crohn's disease",GCST010577,4:188972159
rs224136-<b>?</b>,"1 x 10-7",,NR,1.0752687,'-,[1.05-1.11],AC067751.1,"Crohn's disease","Crohn's disease",GCST010577,10:62710915
rs151258497-<b>?</b>,"5 x 10-6",,NR,1.0638298,'-,[1.03-1.09],TRPM3,"Crohn's disease","Crohn's disease",GCST010577,9:71266959
rs6126698-<b>?</b>,"8 x 10-6",,NR,1.0638298,'-,[1.03-1.1],"TSHZ2, RPL36P1","Crohn's disease","Crohn's disease",GCST010577,20:52931763
rs534888-<b>?</b>,"7 x 10-6",,NR,1.0526316,'-,[1.03-1.09],RAP1A,"Crohn's disease","Crohn's disease",GCST010577,1:111680080
rs12678162-<b>?</b>,"3 x 10-6",,NR,1.06,'-,[1.03-1.08],"PVT1, RN7SKP226","Crohn's disease","Crohn's disease",GCST010577,8:128212448
rs56167332-<b>?</b>,"3 x 10-7",,NR,1.07,'-,[1.04-1.09],AC008691.1,"Crohn's disease","Crohn's disease",GCST010577,5:159400761
rs2833577-<b>?</b>,"1 x 10-6",,NR,1.07,'-,[1.04-1.11],HUNK,"Crohn's disease","Crohn's disease",GCST010577,21:31954469
rs55843528-<b>?</b>,"2 x 10-7",,NR,1.08,'-,[1.05-1.11],"AC098680.1, LINC02513","Crohn's disease","Crohn's disease",GCST010577,4:38359795
rs56354901-<b>?</b>,"2 x 10-6",,NR,1.09,'-,[1.05-1.13],IL27,"Crohn's disease","Crohn's disease",GCST010577,16:28511823
rs7515774-<b>?</b>,"1 x 10-6",,NR,1.1,'-,[1.06-1.15],"PLA2G2D, PLA2G5","Crohn's disease","Crohn's disease",GCST010577,1:20111141
rs781387485-<b>?</b>,"3 x 10-6",,NR,1.11,'-,[1.06-1.16],"GABRA5, GABRB3","Crohn's disease","Crohn's disease",GCST010577,15:26911391
rs11227126-<b>?</b>,"2 x 10-6",,NR,1.12,'-,[1.07-1.18],"HIGD1AP10, SYVN1","Crohn's disease","Crohn's disease",GCST010577,11:65140591
rs4727354-<b>?</b>,"3 x 10-6",,NR,1.14,'-,[1.08-1.20],"CCDC146, GSAP","Crohn's disease","Crohn's disease",GCST010577,7:77319034
rs9623882-<b>?</b>,"2 x 10-6",,NR,1.14,'-,[1.08-1.20],IGLV3-21,"Crohn's disease","Crohn's disease",GCST010577,22:22712129
rs184950714-<b>?</b>,"1 x 10-17",,NR,1.16,'-,[1.12-1.19],"MTCO3P1, HLA-DQB1","Crohn's disease","Crohn's disease",GCST010577,6:32668951
rs10068082-<b>?</b>,"2 x 10-6",,NR,1.17,'-,[1.10-1.26],"AC024579.1, AC010280.2","Crohn's disease","Crohn's disease",GCST010577,5:68395641
rs200319458-<b>?</b>,"8 x 10-6",,NR,1.19,'-,[1.10-1.29],"THSD7A, TMEM106B","Crohn's disease","Crohn's disease",GCST010577,7:12182175
chr20:47804952-<b>?</b>,"3 x 10-6",,NR,1.21,'-,[1.12-1.32],'-,"Crohn's disease","Crohn's disease",GCST010577,"Mapping not available"
rs79536569-<b>?</b>,"4 x 10-6",,NR,1.23,'-,[1.13-1.35],SERPINB6,"Crohn's disease","Crohn's disease",GCST010577,6:2957593
rs10763930-<b>A</b>,"2 x 10-6",,0.0188679,'-,'-,'-,"AL353600.2, AL353600.1","Crohn's disease (time to first abdominal surgery)","disease progression measurement, Crohn's disease",GCST007498,10:33378350
rs3936663-<b>T</b>,"4 x 10-6",,0.300895,'-,'-,'-,"RN7SKP36, SORCS2","Crohn's disease (time to first abdominal surgery)","disease progression measurement, Crohn's disease",GCST007498,4:7183972
rs9521997-<b>G</b>,"2 x 10-6",,0.145542,'-,'-,'-,"PARP1P1, AL442128.2","Crohn's disease (time to first abdominal surgery)","disease progression measurement, Crohn's disease",GCST007498,13:110931075
chr2:26187269-<b>C</b>,"7 x 10-6",,0.0876106,'-,'-,'-,'-,"Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,"Mapping not available"
chr20:41202388-<b>TC</b>,"3 x 10-6",,0.488444,'-,'-,'-,'-,"Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,"Mapping not available"
rs11223177-<b>T</b>,"7 x 10-6",,0.2,'-,'-,'-,OPCML,"Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,11:132706651
rs1499555-<b>A</b>,"1 x 10-6",,0.436396,'-,'-,'-,"DMRTA1, LINC01239","Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,9:22589172
rs1544254-<b>G</b>,"5 x 10-6",,0.425242,'-,'-,'-,"AC021506.1, LINC01898","Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,18:75743798
rs1603949-<b>T</b>,"2 x 10-6",,0.115551,'-,'-,'-,"AL445668.1, LINC00448","Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,13:62645344
rs5743289-<b>?</b>,"6 x 10-17",,NR,'-,'-,'-,NOD2,"Crohn's disease","Crohn's disease",GCST000071,16:50722863
rs76418789-<b>G</b>,"2 x 10-10",,0.931,2.06,'-,[1.64-2.58],"C1orf141, IL23R","Crohn's disease","Crohn's disease",GCST002094,1:67182913
rs114985235-<b>C</b>,"9 x 10-23",,0.12,2.25,'-,[1.91-2.66],HLA-B,"Crohn's disease","Crohn's disease",GCST003360,6:31301916
rs9271060-<b>G</b>,"1 x 10-22",,0.77,2.857143,'-,[2.33-3.57],"HLA-DQA1, HLA-DRB1","Crohn's disease","Crohn's disease",GCST003360,6:32607736
rs293526-<b>T</b>,"2 x 10-11",,0.82,2.1276596,'-,[1.69-2.63],"UBE3D, AL355613.1","Crohn's disease","Crohn's disease",GCST003360,6:82938337
rs6478109-<b>G</b>,"5 x 10-25",,0.51,2.0833335,'-,[1.82-2.38],"AL133412.1, TNFSF15","Crohn's disease","Crohn's disease",GCST003360,9:114806486
rs140068907-<b>C</b>,"1 x 10-11",,0.08,1.98,'-,[1.62-2.41],"HLA-DQB1, MTCO3P1","Crohn's disease","Crohn's disease",GCST003360,6:32691666
rs5929166-<b>A</b>,"5 x 10-9",,0.03,3.03,'-,[2.08-4.35],XACT,"Poor prognosis in Crohn's disease","Crohn's disease, disease prognosis measurement",GCST004053,X:113634280
rs147856773-<b>?</b>,"1 x 10-8",,NR,1.75,'-,[1.43-2.13],FOXO3,"Poor prognosis in Crohn's disease","Crohn's disease, disease prognosis measurement",GCST004053,6:108666025
rs9279411-<b>?</b>,"5 x 10-9",,NR,1.67,'-,[1.41-2.00],VWA7,"Poor prognosis in Crohn's disease","Crohn's disease, disease prognosis measurement",GCST004053,6:31766174
rs75764599-<b>A</b>,"4 x 10-8",,0.01,3.02,'-,[2.04-4.49],"CCDC201, RNU6-326P","Poor prognosis in Crohn's disease","Crohn's disease, disease prognosis measurement",GCST004053,7:45859651
rs3749172-<b>A</b>,"6 x 10-11",,0.28,1.45,'-,[1.29–1.61],GPR35,"Crohn's disease","Crohn's disease",GCST008485,2:240630832
rs224143-<b>G</b>,"2 x 10-9",,0.59,1.38,'-,[1.24–1.53],AC067751.1,"Crohn's disease","Crohn's disease",GCST008485,10:62718076
rs1250569-<b>T</b>,"3 x 10-7",,0.48,1.3,'-,[1.18–1.44],ZMIZ1,"Crohn's disease","Crohn's disease",GCST008485,10:79285450
rs4409764-<b>T</b>,"8 x 10-8",,0.46,1.32,'-,[1.19–1.46],"LINC01475, AL391684.1","Crohn's disease","Crohn's disease",GCST008485,10:99524480
rs514000-<b>C</b>,"9 x 10-8",,0.33,1.33,'-,[1.20–1.48],PTPN2,"Crohn's disease","Crohn's disease",GCST008485,18:12854073
rs2823256-<b>G</b>,"2 x 10-7",,0.7,1.35,'-,[1.20–1.51],AJ009632.2,"Crohn's disease","Crohn's disease",GCST008485,21:15414477
rs2158962-<b>A</b>,"1 x 10-7",,0.54,4.94,'-,[2.65-9.24],TRAP1,"Infliximab-induced mucosal healing in Crohn's disease","response to TNF antagonist, Crohn's disease",GCST008397,16:3688026
rs16845844-<b>G</b>,"7 x 10-6",,0.0876652,'-,'-,'-,PSMD14,"Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,2:161408759
rs1873103-<b>G</b>,"5 x 10-6",,0.54458,'-,'-,'-,"MTRNR2L13, TRMT112P1","Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,4:116341004
rs1972081-<b>C</b>,"8 x 10-6",,0.34669,'-,'-,'-,LUZP2,"Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,11:24637287
rs4723416-<b>G</b>,"4 x 10-6",,0.419929,'-,'-,'-,"AC017000.1, SDK1","Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,7:4134757
rs56259952-<b>C</b>,"9 x 10-6",,0.115247,'-,'-,'-,"AP002428.1, AP003715.1","Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,11:98730321
rs5742831-<b>A</b>,"5 x 10-6",,0.411713,'-,'-,'-,DAD1,"Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,14:22570239
rs7566270-<b>T</b>,"7 x 10-6",,0.0846491,'-,'-,'-,AC009299.2,"Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,2:161291619
rs75986423-<b>C</b>,"6 x 10-6",,0.108761,'-,'-,'-,AC005699.1,"Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,4:11728827
rs7780850-<b>C</b>,"7 x 10-6",,0.279322,'-,'-,'-,"SYPL1, CDHR3","Crohn's disease (indolent vs progressive)","disease progression measurement, Crohn's disease",GCST007499,7:106059997
rs116855232-<b>T</b>,"5 x 10-94",,0.04,35.63,'-,[22.47-56.51],NUDT15,"Thiopurine-induced early leukopenia in Crohn's disease","leukopenia, response to thiopurine, Crohn's disease",GCST007229,13:48045719
rs9268877-<b>A</b>,"1 x 10-8",,0.35,1.72,'-,[1.43-2.07],HLA-DRB9,"Poor prognosis in Crohn's disease","Crohn's disease, disease prognosis measurement",GCST009878,6:32463370
rs12122337-<b>G</b>,"1 x 10-6","(CDC Perianal)",0.06,2.2,'-,[1.56-3.07],"TAGLN2, AL590560.4","Crohn's disease-related phenotypes","perianal Crohn's disease, complicated disease course",GCST002729,1:159916632
rs10883365-<b>?</b>,"4 x 10-10",,0.48,1.18,'-,[1.05-1.32],"AL513542.1, LINC01475","Crohn's disease","Crohn's disease",GCST000039,10:99528007
rs2542151-<b>?</b>,"3 x 10-8",,0.18,1.15,'-,[1.00-1.32],"PTPN2, AP005482.2","Crohn's disease","Crohn's disease",GCST000039,18:12779948
rs9292777-<b>?</b>,"3 x 10-18",,0.40,1.34,'-,[1.20-1.50],"AC093277.1, AC114977.1","Crohn's disease","Crohn's disease",GCST000039,5:40437846
rs6887695-<b>?</b>,"9 x 10-6",,0.32,1.26,'-,[1.12-1.41],AC008691.1,"Crohn's disease","Crohn's disease",GCST000039,5:159395637
rs13361189-<b>?</b>,"2 x 10-10",,0.08,1.38,'-,[1.15-1.66],"IRGM, SMIM3","Crohn's disease","Crohn's disease",GCST000039,5:150843825
rs12035082-<b>?</b>,"2 x 10-7",,0.40,1.14,'-,[1.02-1.27],AL031599.1,"Crohn's disease","Crohn's disease",GCST000039,1:172929237
rs2836754-<b>?</b>,"5 x 10-7",,0.35,1.15,'-,[1.03-1.28],AP001042.1,"Crohn's disease","Crohn's disease",GCST000039,21:38919816
rs10801047-<b>?</b>,"3 x 10-8",,0.08,1.47,'-,[1.22-1.76],"LINC01680, LINC02770","Crohn's disease","Crohn's disease",GCST000039,1:191590226
rs9858542-<b>?</b>,"5 x 10-8",,0.29,1.17,'-,[1.14-1.31],BSN,"Crohn's disease","Crohn's disease",GCST000039,3:49664550
rs1398024-<b>A</b>,"4 x 10-6",,0.25,1.23,'-,[1.04-1.45],"AL606469.1, AL606469.2","Crohn's disease and sarcoidosis (combined)","Sarcoidosis, Crohn's disease",GCST000212,10:23376509
rs9271366-<b>C</b>,"2 x 10-70","(UC vs. CD)",0.21,4.44,'-,[3.74-5.27],"HLA-DRB1, HLA-DQA1","Ulcerative colitis or Crohn's disease","ulcerative colitis, Crohn's disease",GCST001118,6:32619077
rs11209026-<b>G</b>,"1 x 10-18",,0.921,2.2,'-,[2.10-2.35],IL23R,"Crohn's disease","Crohn's disease",GCST001438,1:67240275
rs2241880-<b>G</b>,"1 x 10-12",,0.601,1.32,'-,[1.24-1.41],ATG16L1,"Crohn's disease","Crohn's disease",GCST001438,2:233274722
rs6545946-<b>C</b>,"7 x 10-9",,0.77,1.16,'-,[1.06-1.27],"RN7SL18P, AC093159.1","Crohn's disease","Crohn's disease",GCST001438,2:62486398
rs9292777-<b>T</b>,"2 x 10-11",,0.597,1.37,'-,[1.28-1.48],"AC093277.1, AC114977.1","Crohn's disease","Crohn's disease",GCST001438,5:40437846
rs7705924-<b>G</b>,"2 x 10-8",,0.066,1.48,'-,[1.17-1.87],"LINC00491, LINC00492","Crohn's disease","Crohn's disease",GCST001438,5:102611094
rs9258260-<b>T</b>,"2 x 10-10",,0.104,1.45,'-,[1.21-1.68],AL645939.6,"Crohn's disease","Crohn's disease",GCST001438,6:29755384
rs12677663-<b>T</b>,"2 x 10-8",,0.659,1.15,'-,[1.04-1.28],SBSPON,"Crohn's disease","Crohn's disease",GCST001438,8:73095112
rs10734105-<b>G</b>,"3 x 10-8",,0.375,1.27,'-,[1.10-1.43],"TCERG1L, LINC01164","Crohn's disease","Crohn's disease",GCST001438,10:131373856
rs7076156-<b>G</b>,"7 x 10-9",,0.751,1.19,'-,[1.10-1.30],"AC067752.1, AC024598.1","Crohn's disease","Crohn's disease",GCST001438,10:62655424
rs11190141-<b>C</b>,"5 x 10-7",,0.739,1.34,'-,[1.25-1.43],"LINC01475, NKX2-3","Crohn's disease","Crohn's disease",GCST001438,10:99532633
rs11229030-<b>C</b>,"8 x 10-9",,0.305,1.15,'-,[1.10-1.39],"SLC43A3, RNA5SP341","Crohn's disease","Crohn's disease",GCST001438,11:57435536
rs2076756-<b>G</b>,"1 x 10-37",,0.246,1.66,'-,[1.48-1.88],NOD2,"Crohn's disease","Crohn's disease",GCST001438,16:50722970
rs11574514-<b>A</b>,"2 x 10-7",,0.045,1.44,'-,[1.35-1.52],"PSMB10, LCAT","Crohn's disease","Crohn's disease",GCST001438,16:67937477
rs3091316-<b>G</b>,"4 x 10-8",,0.732,1.14,'-,[1.03-1.27],"CCL7, CCL2","Crohn's disease","Crohn's disease",GCST001438,17:34266955
rs13003464-<b>G</b>,"5 x 10-9",,0.487,1.05,'-,[1.00-1.40],PUS10,"Crohn's disease","Crohn's disease",GCST001438,2:60959694
rs3091338-<b>T</b>,"4 x 10-8",,0.328,1.23,'-,[1.08-1.42],"IL3, CSF2","Crohn's disease","Crohn's disease",GCST001438,5:132067045
rs1906493-<b>A</b>,"3 x 10-6",,0.432,1.19,'-,[1.09-1.28],LINC00861,"Crohn's disease","Crohn's disease",GCST001438,8:126080638
rs6596-<b>?</b>,"2 x 10-54",,NR,3.5578997,'-,[3.02-4.20],SNX20,"Crohn's disease","Crohn's disease",GCST003959,16:50675812
rs13333062-<b>?</b>,"4 x 10-22",,NR,2.2456965,'-,[1.90-2.65],LINC02128,"Crohn's disease","Crohn's disease",GCST003959,16:50888875
rs1049526-<b>?</b>,"5 x 10-9",,NR,2.4428785,'-,[1.79-3.33],BRD2,"Crohn's disease","Crohn's disease",GCST003959,6:32981027
rs6596-<b>?</b>,"6 x 10-26",(Adults),NR,3.2372465,'-,[2.61-4.01],SNX20,"Crohn's disease","Crohn's disease",GCST003959,16:50675812
rs13333062-<b>?</b>,"6 x 10-14",(Adults),NR,2.3493187,'-,[1.89-2.92],LINC02128,"Crohn's disease","Crohn's disease",GCST003959,16:50888875
rs1049526-<b>?</b>,"3 x 10-6",(Adults),NR,2.530363,'-,[1.73-3.70],BRD2,"Crohn's disease","Crohn's disease",GCST003959,6:32981027
rs6596-<b>?</b>,"8 x 10-45",(Children),NR,3.735511,'-,[3.10-4.49],SNX20,"Crohn's disease","Crohn's disease",GCST003959,16:50675812
rs13333062-<b>?</b>,"1 x 10-15",(Children),NR,2.1826217,'-,[1.81-2.64],LINC02128,"Crohn's disease","Crohn's disease",GCST003959,16:50888875
rs1049526-<b>?</b>,"3 x 10-7",(Children),NR,2.4273632,'-,[1.72-3.42],BRD2,"Crohn's disease","Crohn's disease",GCST003959,6:32981027
