"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs12956924-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,SMAD7,Eczema,Eczema,GCST007075,18:48924776
rs12968012-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,"SMAD4, AC091551.1",Eczema,Eczema,GCST007075,18:51041256
rs3730775-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,POLI,Eczema,Eczema,GCST007075,18:54287596
rs8086340-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,TNFRSF11A,Eczema,Eczema,GCST007075,18:62339745
rs2569702-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,ICAM5,Eczema,Eczema,GCST007075,19:10293271
rs118013485-<b>?</b>,"1 x 10-19",,NR,'-,'-,'-,"AC008738.6, SLC7A10",Eczema,Eczema,GCST007075,19:33235671
rs62117160-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,"BCL3, AC243964.2",Eczema,Eczema,GCST007075,19:44728895
rs6066181-<b>?</b>,"1 x 10-19",,NR,'-,'-,'-,EYA2,Eczema,Eczema,GCST007075,20:47052639
rs12625547-<b>?</b>,"6 x 10-12",,NR,'-,'-,'-,NFATC2,Eczema,Eczema,GCST007075,20:51538108
rs2766680-<b>?</b>,"1 x 10-21",,NR,'-,'-,'-,ZNF217,Eczema,Eczema,GCST007075,20:53595734
rs73285914-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,AL133335.2,Eczema,Eczema,GCST007075,20:54179000
rs6089970-<b>?</b>,"2 x 10-13",,NR,'-,'-,'-,ZBTB46,Eczema,Eczema,GCST007075,20:63750626
rs73203093-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,RUNX1,Eczema,Eczema,GCST007075,21:35085209
rs2006112-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,SIK1,Eczema,Eczema,GCST007075,21:43421172
rs1811069-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,"UBE2L3, YDJC",Eczema,Eczema,GCST007075,22:21627765
rs5762683-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,TTC28,Eczema,Eczema,GCST007075,22:28551643
rs5751086-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,TEF,Eczema,Eczema,GCST007075,22:41372858
rs9300546-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,"AL136961.1, TM9SF2",Eczema,Eczema,GCST007075,13:99435465
rs10131567-<b>?</b>,"4 x 10-10",,NR,'-,'-,'-,"NFKBIA, AL133163.1",Eczema,Eczema,GCST007075,14:35395672
rs7140939-<b>?</b>,"3 x 10-14",,NR,'-,'-,'-,RAD51B,Eczema,Eczema,GCST007075,14:68293810
rs11626205-<b>?</b>,"9 x 10-8",,NR,'-,'-,'-,RIN3,Eczema,Eczema,GCST007075,14:92558117
rs12886625-<b>?</b>,"9 x 10-13",,NR,'-,'-,'-,AL132801.2,Eczema,Eczema,GCST007075,14:102772597
rs12440045-<b>?</b>,"1 x 10-19",,NR,'-,'-,'-,"RTF1, ITPKA",Eczema,Eczema,GCST007075,15:41490486
rs10519068-<b>?</b>,"2 x 10-22",,NR,'-,'-,'-,RORA,Eczema,Eczema,GCST007075,15:60776505
rs56375023-<b>?</b>,"6 x 10-32",,NR,'-,'-,'-,SMAD3,Eczema,Eczema,GCST007075,15:67156025
rs4886656-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,PPCDC,Eczema,Eczema,GCST007075,15:75110793
rs2074585-<b>?</b>,"3 x 10-22",,NR,'-,'-,'-,IQGAP1,Eczema,Eczema,GCST007075,15:90466252
rs35441874-<b>?</b>,"1 x 10-44",,NR,'-,'-,'-,CLEC16A,Eczema,Eczema,GCST007075,16:11119164
rs77804393-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,RMI2,Eczema,Eczema,GCST007075,16:11265296
rs3024665-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,IL4R,Eczema,Eczema,GCST007075,16:27360218
rs7193402-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,SGF29,Eczema,Eczema,GCST007075,16:28574806
rs41190-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,AC044798.3,Eczema,Eczema,GCST007075,16:49245091
rs216199-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,SMG6,Eczema,Eczema,GCST007075,17:2297577
rs71368508-<b>?</b>,"6 x 10-13",,NR,'-,'-,'-,"LINC01996, RNU6-955P",Eczema,Eczema,GCST007075,17:4618178
rs62064086-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,RAI1,Eczema,Eczema,GCST007075,17:17728480
rs9906189-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,GGNBP2,Eczema,Eczema,GCST007075,17:36549567
rs4580194-<b>?</b>,"5 x 10-14",,NR,'-,'-,'-,GSDMA,Eczema,Eczema,GCST007075,17:39970224
rs112401631-<b>?</b>,"3 x 10-68",,NR,'-,'-,'-,"AC004585.2, SMARCE1",Eczema,Eczema,GCST007075,17:40608272
rs8068844-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,CAVIN1,Eczema,Eczema,GCST007075,17:42419266
rs71373536-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"ACBD4, AC142472.1",Eczema,Eczema,GCST007075,17:45144441
rs10468514-<b>?</b>,"4 x 10-15",,NR,'-,'-,'-,"AC003070.2, ARHGAP27",Eczema,Eczema,GCST007075,17:45378874
rs12185242-<b>?</b>,"9 x 10-12",,NR,'-,'-,'-,ZNF652,Eczema,Eczema,GCST007075,17:49329709
rs7925585-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,PRR5L,Eczema,Eczema,GCST007075,11:36365351
rs4939490-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,"CD6, AP003721.2",Eczema,Eczema,GCST007075,11:61026179
rs61886887-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,CCDC88B,Eczema,Eczema,GCST007075,11:64352979
rs10791824-<b>?</b>,"8 x 10-24",,NR,'-,'-,'-,OVOL1,Eczema,Eczema,GCST007075,11:65791795
rs2846072-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"LINC02761, THAP12",Eczema,Eczema,GCST007075,11:76269481
rs7936323-<b>?</b>,"2 x 10-75",,NR,'-,'-,'-,"EMSY, AP001189.2",Eczema,Eczema,GCST007075,11:76582714
rs56095240-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,AP000820.2,Eczema,Eczema,GCST007075,11:95688666
rs11213941-<b>?</b>,"8 x 10-14",,NR,'-,'-,'-,"LAYN, SIK2",Eczema,Eczema,GCST007075,11:111563369
rs12365699-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,"AP004609.1, CXCR5",Eczema,Eczema,GCST007075,11:118872577
rs61907710-<b>?</b>,"3 x 10-14",,NR,'-,'-,'-,"LINC02098, ETS1",Eczema,Eczema,GCST007075,11:128287970
rs67385163-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,MLF2,Eczema,Eczema,GCST007075,12:6755724
rs1700159-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,ACVRL1,Eczema,Eczema,GCST007075,12:51912002
rs62623446-<b>?</b>,"7 x 10-13",,NR,'-,'-,'-,TESPA1,Eczema,Eczema,GCST007075,12:54974507
rs61938962-<b>?</b>,"6 x 10-23",,NR,'-,'-,'-,"RPS26, ERBB3",Eczema,Eczema,GCST007075,12:56052982
rs3024971-<b>?</b>,"2 x 10-27",,NR,'-,'-,'-,STAT6,Eczema,Eczema,GCST007075,12:57099944
rs12303699-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,PLXNC1,Eczema,Eczema,GCST007075,12:94188560
rs653178-<b>?</b>,"4 x 10-19",,NR,'-,'-,'-,ATXN2,Eczema,Eczema,GCST007075,12:111569952
rs3213567-<b>?</b>,"3 x 10-17",,NR,'-,'-,'-,SPPL3,Eczema,Eczema,GCST007075,12:120784753
rs7968808-<b>?</b>,"3 x 10-14",,NR,'-,'-,'-,LRRC43,Eczema,Eczema,GCST007075,12:122177244
rs1260294-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,PITPNM2,Eczema,Eczema,GCST007075,12:123075742
rs2039004-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,LINC00598,Eczema,Eczema,GCST007075,13:40423758
rs9549243-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,FOXO1,Eczema,Eczema,GCST007075,13:40643068
rs3116590-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,DLEU1,Eczema,Eczema,GCST007075,13:50234741
rs7989041-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,"KLF5, PSMD10P3",Eczema,Eczema,GCST007075,13:73053538
rs981625-<b>?</b>,"6 x 10-12",,NR,'-,'-,'-,LINC00393,Eczema,Eczema,GCST007075,13:73465798
rs11466681-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,TNFRSF18,Eczema,Eczema,GCST007075,1:1206007
rs10910095-<b>?</b>,"5 x 10-12",,NR,'-,'-,'-,"AL139246.2, AL139246.3",Eczema,Eczema,GCST007075,1:2579316
rs2455101-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,PRDM16,Eczema,Eczema,GCST007075,1:3259164
rs301806-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,RERE,Eczema,Eczema,GCST007075,1:8422018
rs12760882-<b>?</b>,"9 x 10-12",,NR,'-,'-,'-,"SPSB1, H6PD",Eczema,Eczema,GCST007075,1:9285727
rs1201113-<b>?</b>,"7 x 10-11",,NR,'-,'-,'-,TNFRSF8,Eczema,Eczema,GCST007075,1:12084377
rs760805-<b>?</b>,"6 x 10-14",,NR,'-,'-,'-,RUNX3,Eczema,Eczema,GCST007075,1:24925432
rs76167968-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,"AL590434.1, ZMYM4",Eczema,Eczema,GCST007075,1:35216137
rs114997373-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"AKR1A1, HMGB1P48",Eczema,Eczema,GCST007075,1:45535906
rs114269697-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,JAK1,Eczema,Eczema,GCST007075,1:64848529
rs2815374-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,SLC35D1,Eczema,Eczema,GCST007075,1:67041704
rs34231012-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,EVI5,Eczema,Eczema,GCST007075,1:92616815
rs115390301-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,OTUD7B,Eczema,Eczema,GCST007075,1:149981477
rs4845604-<b>?</b>,"3 x 10-22",,NR,'-,'-,'-,RORC,Eczema,Eczema,GCST007075,1:151829204
rs115288876-<b>?</b>,"2 x 10-28",,NR,'-,'-,'-,AL450992.2,Eczema,Eczema,GCST007075,1:152027641
rs61816761-<b>?</b>,"8 x 10-46",,NR,'-,'-,'-,"FLG, FLG-AS1",Eczema,Eczema,GCST007075,1:152313385
rs61811906-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,SPRR2E,Eczema,Eczema,GCST007075,1:153096474
rs2228145-<b>?</b>,"1 x 10-15",,NR,'-,'-,'-,IL6R,Eczema,Eczema,GCST007075,1:154454494
rs1870940-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,ZBTB7B,Eczema,Eczema,GCST007075,1:155011887
rs3856261-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,RIT1,Eczema,Eczema,GCST007075,1:155906822
rs11265449-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,SLAMF1,Eczema,Eczema,GCST007075,1:160612458
rs2070901-<b>?</b>,"1 x 10-14",,NR,'-,'-,'-,FCER1G,Eczema,Eczema,GCST007075,1:161215268
rs1214598-<b>?</b>,"2 x 10-25",,NR,'-,'-,'-,"AL359962.3, CD247",Eczema,Eczema,GCST007075,1:167457187
rs75084216-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"FASLG, SLC25A38P1",Eczema,Eczema,GCST007075,1:172670579
rs2422254-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,AL031599.1,Eczema,Eczema,GCST007075,1:172810693
rs7518129-<b>?</b>,"4 x 10-18",,NR,'-,'-,'-,TNFSF4,Eczema,Eczema,GCST007075,1:173194429
rs7367184-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,CFHR4,Eczema,Eczema,GCST007075,1:196891605
rs17669032-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,PTPRC,Eczema,Eczema,GCST007075,1:198684045
rs12068304-<b>?</b>,"9 x 10-15",,NR,'-,'-,'-,BATF3,Eczema,Eczema,GCST007075,1:212691650
rs891058-<b>?</b>,"2 x 10-33",,NR,'-,'-,'-,LINC00299,Eczema,Eczema,GCST007075,2:8302417
rs4739738-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,AC034114.2,Eczema,Eczema,GCST007075,8:80379410
rs6986151-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"AP000424.1, ANKRD46",Eczema,Eczema,GCST007075,8:100507673
rs13277355-<b>?</b>,"3 x 10-15",,NR,'-,'-,'-,"MYC, PVT1",Eczema,Eczema,GCST007075,8:127765473
rs11783015-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,CCDC26,Eczema,Eczema,GCST007075,8:128682763
rs36051895-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"HNRNPA1P41, JAK2",Eczema,Eczema,GCST007075,9:4981866
rs343473-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,"GTF3AP1, AL162384.1",Eczema,Eczema,GCST007075,9:6074936
rs1342326-<b>?</b>,"5 x 10-28",,NR,'-,'-,'-,"AL162384.1, GTF3AP1",Eczema,Eczema,GCST007075,9:6190076
rs10756796-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,BNC2,Eczema,Eczema,GCST007075,9:16730976
rs946806-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"LNCARSR, TLE4",Eczema,Eczema,GCST007075,9:79570457
rs10991797-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"AL158071.1, AL158071.3",Eczema,Eczema,GCST007075,9:91168389
rs16918167-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,COL15A1,Eczema,Eczema,GCST007075,9:99053057
rs6478484-<b>?</b>,"8 x 10-14",,NR,'-,'-,'-,PHF19,Eczema,Eczema,GCST007075,9:120890102
rs11539209-<b>?</b>,"8 x 10-16",,NR,'-,'-,'-,ZDHHC12,Eczema,Eczema,GCST007075,9:128721272
rs495828-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,"AL772161.2, ABO",Eczema,Eczema,GCST007075,9:133279294
rs117137535-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"AL590627.3, ARRDC1",Eczema,Eczema,GCST007075,9:137605991
rs61832952-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,ANKRD16,Eczema,Eczema,GCST007075,10:5885488
rs61839660-<b>?</b>,"4 x 10-38",,NR,'-,'-,'-,IL2RA,Eczema,Eczema,GCST007075,10:6052734
rs2255088-<b>?</b>,"7 x 10-11",,NR,'-,'-,'-,PRKCQ-AS1,Eczema,Eczema,GCST007075,10:6583416
rs11255753-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"CHCHD3P1, KRT8P37",Eczema,Eczema,GCST007075,10:8563590
rs2025758-<b>?</b>,"6 x 10-18",,NR,'-,'-,'-,"LINC02676, AL355333.1",Eczema,Eczema,GCST007075,10:8799706
rs1444782-<b>?</b>,"2 x 10-22",,NR,'-,'-,'-,"LINC00709, AC044784.1",Eczema,Eczema,GCST007075,10:9016708
rs10993994-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,MSMB,Eczema,Eczema,GCST007075,10:46046326
rs10822037-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,"AC024598.1, AC067752.1",Eczema,Eczema,GCST007075,10:62616798
rs7899004-<b>?</b>,"8 x 10-17",,NR,'-,'-,'-,SUFU,Eczema,Eczema,GCST007075,10:102581678
rs12282231-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"C11orf21, ASCL2",Eczema,Eczema,GCST007075,11:2274398
rs1032841-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,LINC01814,Eczema,Eczema,GCST007075,2:8526108
rs34655300-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,DNMT3A,Eczema,Eczema,GCST007075,2:25291464
rs7606480-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,FOSL2,Eczema,Eczema,GCST007075,2:28409510
rs829636-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,LCLAT1,Eczema,Eczema,GCST007075,2:30514935
rs6545836-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,REL,Eczema,Eczema,GCST007075,2:60895838
rs62177792-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,WDPCP,Eczema,Eczema,GCST007075,2:63235385
rs58856182-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"SERTAD2, LINC02579",Eczema,Eczema,GCST007075,2:64616808
rs59185885-<b>?</b>,"4 x 10-79",,NR,'-,'-,'-,"IL18R1, IL1RL1",Eczema,Eczema,GCST007075,2:102327786
rs62162286-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,"AC017002.4, SOCAR, AC017002.3, MIR4435-2HG",Eczema,Eczema,GCST007075,2:111510863
rs1448190-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"ANAPC1, AC017002.3, AC017002.4",Eczema,Eczema,GCST007075,2:111618386
rs2723197-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"IL37, CDK8P2",Eczema,Eczema,GCST007075,2:112932170
rs16858573-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,ARHGAP15,Eczema,Eczema,GCST007075,2:143118156
rs62172472-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,AC007319.1,Eczema,Eczema,GCST007075,2:187163590
rs1025549-<b>?</b>,"3 x 10-19",,NR,'-,'-,'-,PLCL1,Eczema,Eczema,GCST007075,2:198016459
rs55730955-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,CD28,Eczema,Eczema,GCST007075,2:203721233
rs2291241-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,IKZF2,Eczema,Eczema,GCST007075,2:213021730
rs940341-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,"TDGF1P2, CCL20",Eczema,Eczema,GCST007075,2:227860010
rs9247-<b>?</b>,"1 x 10-14",,NR,'-,'-,'-,INPP5D,Eczema,Eczema,GCST007075,2:233204655
rs34290285-<b>?</b>,"1 x 10-58",,NR,'-,'-,'-,D2HGDH,Eczema,Eczema,GCST007075,2:241759225
rs71421178-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,LINC01237,Eczema,Eczema,GCST007075,2:241947382
rs11916411-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,UBE2E2,Eczema,Eczema,GCST007075,3:23526489
rs73057087-<b>?</b>,"2 x 10-15",,NR,'-,'-,'-,GLB1,Eczema,Eczema,GCST007075,3:33026776
rs6445804-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,TASOR,Eczema,Eczema,GCST007075,3:56630824
rs61192126-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,"AC134508.1, RYBP",Eczema,Eczema,GCST007075,3:72345701
rs709498-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"AC012020.1, LINC00636",Eczema,Eczema,GCST007075,3:107975987
rs1295685-<b>?</b>,"6 x 10-13",,NR,'-,'-,'-,"IL13, TH2LCRR",Eczema,Eczema,GCST007075,5:132660753
rs62379371-<b>?</b>,"3 x 10-16",,NR,'-,'-,'-,"TCF7, AC008608.1",Eczema,Eczema,GCST007075,5:134103583
rs13185930-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,"CDC23, GFRA3",Eczema,Eczema,GCST007075,5:138241824
rs7712601-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,DIAPH1,Eczema,Eczema,GCST007075,5:141538221
rs249677-<b>?</b>,"6 x 10-11",,NR,'-,'-,'-,"AC091825.3, NDFIP1",Eczema,Eczema,GCST007075,5:142159774
rs17057868-<b>?</b>,"1 x 10-15",,NR,'-,'-,'-,"ATP10B, MIR3142HG",Eczema,Eczema,GCST007075,5:160487658
rs7713145-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,"RGS14, LMAN2",Eczema,Eczema,GCST007075,5:177354208
rs11242709-<b>?</b>,"9 x 10-9",,NR,'-,'-,'-,"AL365272.1, AL035696.1",Eczema,Eczema,GCST007075,6:209159
rs10947428-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,ITPR3,Eczema,Eczema,GCST007075,6:33679281
rs2744939-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"ILRUN, IFITM3P3",Eczema,Eczema,GCST007075,6:34580429
rs1998266-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,ETV7-AS1,Eczema,Eczema,GCST007075,6:36390512
rs831497-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,FGD2,Eczema,Eczema,GCST007075,6:37024416
rs905670-<b>?</b>,"1 x 10-18",,NR,'-,'-,'-,BACH2,Eczema,Eczema,GCST007075,6:90248783
rs3933376-<b>?</b>,"5 x 10-12",,NR,'-,'-,'-,PTPRK,Eczema,Eczema,GCST007075,6:127970926
rs2746438-<b>?</b>,"9 x 10-16",,NR,'-,'-,'-,AHI1,Eczema,Eczema,GCST007075,6:135396930
rs5029949-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,TNFAIP3,Eczema,Eczema,GCST007075,6:137876369
rs212408-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,"AL035530.2, AL035530.1",Eczema,Eczema,GCST007075,6:159049210
rs1843935-<b>?</b>,"9 x 10-10",,NR,'-,'-,'-,"CARD11, AC024028.1",Eczema,Eczema,GCST007075,7:3077159
rs2390314-<b>?</b>,"2 x 10-17",,NR,'-,'-,'-,"EEF1A1P27, ITGB8",Eczema,Eczema,GCST007075,7:20416355
rs10244416-<b>?</b>,"3 x 10-21",,NR,'-,'-,'-,"EEF1A1P27, ITGB8",Eczema,Eczema,GCST007075,7:20536128
rs10245867-<b>?</b>,"5 x 10-21",,NR,'-,'-,'-,JAZF1,Eczema,Eczema,GCST007075,7:28102567
rs57453899-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,AC020743.2,Eczema,Eczema,GCST007075,7:50212812
rs2190097-<b>?</b>,"7 x 10-15",,NR,'-,'-,'-,GSAP,Eczema,Eczema,GCST007075,7:77409628
rs62621812-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,ZNF800,Eczema,Eczema,GCST007075,7:127375029
rs3918226-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,NOS3,Eczema,Eczema,GCST007075,7:150993088
rs13323006-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,"CD200R1L, CD200R1",Eczema,Eczema,GCST007075,3:112904703
rs2293616-<b>?</b>,"2 x 10-16",,NR,'-,'-,'-,SLC15A2,Eczema,Eczema,GCST007075,3:121922846
rs6785012-<b>?</b>,"7 x 10-14",,NR,'-,'-,'-,ZBTB38,Eczema,Eczema,GCST007075,3:141390506
rs1905499-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"LINC01208, MTND5P15",Eczema,Eczema,GCST007075,3:176998130
rs10937319-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,AC072022.1,Eczema,Eczema,GCST007075,3:187711669
rs519973-<b>?</b>,"2 x 10-24",,NR,'-,'-,'-,"AC108681.1, AC068295.1",Eczema,Eczema,GCST007075,3:187915480
rs60946162-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,LPP,Eczema,Eczema,GCST007075,3:188415548
rs73196739-<b>?</b>,"6 x 10-15",,NR,'-,'-,'-,LPP,Eczema,Eczema,GCST007075,3:188684683
rs12152276-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,"NRROS, PIGX",Eczema,Eczema,GCST007075,3:196641630
rs11736191-<b>?</b>,"4 x 10-10",,NR,'-,'-,'-,STX18-AS1,Eczema,Eczema,GCST007075,4:4766748
rs5743618-<b>?</b>,"4 x 10-114",,NR,'-,'-,'-,TLR1,Eczema,Eczema,GCST007075,4:38797027
rs13107325-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,SLC39A8,Eczema,Eczema,GCST007075,4:102267552
rs230504-<b>?</b>,"5 x 10-14",,NR,'-,'-,'-,NFKB1,Eczema,Eczema,GCST007075,4:102560404
rs45613035-<b>?</b>,"2 x 10-26",,NR,'-,'-,'-,KIAA1109,Eczema,Eczema,GCST007075,4:122219915
rs1904522-<b>?</b>,"1 x 10-37",,NR,'-,'-,'-,ADAD1,Eczema,Eczema,GCST007075,4:122415763
